"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"SHACLExportAdapter","adapter-plane","adapter-schema-export","SHACL 导出适配器","capability","SHACLExportAdapter-is_a-SchemaAdapter","2","","SHACL 导出适配器","capability","reparent","adapter-plane","adapter-schema-export","SHACL 导出适配器","capability","SHACLExportAdapter-is_a-SemanticGraphAdapter","SHACLExportAdapter-is_a-SemanticGraphAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-pyshacl|eng-val-shacl","SHACLExportAdapter-example-positive-001","SHACLExportAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ShExExportAdapter","adapter-plane","adapter-schema-export","ShEx 导出适配器","capability","ShExExportAdapter-is_a-SchemaAdapter","2","","ShEx 导出适配器","capability","reparent","adapter-plane","adapter-schema-export","ShEx 导出适配器","capability","ShExExportAdapter-is_a-SemanticGraphAdapter","ShExExportAdapter-is_a-SemanticGraphAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-shex|lit-ont-shacl-shex-survey","ShExExportAdapter-example-positive-001","ShExExportAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"StructuralSchemaAdapter","","","","","","","","构模式适配器","capability","add","adapter-plane","adapter-schema-export","结构模式适配器","capability","StructuralSchemaAdapter-is_a-ProjectionAdapter","StructuralSchemaAdapter-is_a-ProjectionAdapter","","","","","new reviewed concept; no v2 record to migrate","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-owl|eng-val-jsonschema-spec","StructuralSchemaAdapter-example-positive-001","StructuralSchemaAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ZodProfileAdapter","adapter-plane","adapter-schema-export","Zod 配置适配器","capability","ZodProfileAdapter-is_a-SchemaAdapter","2","","Zod 配置适配器","capability","reparent","adapter-plane","adapter-schema-export","Zod 配置适配器","capability","ZodProfileAdapter-is_a-StructuralSchemaAdapter","ZodProfileAdapter-is_a-StructuralSchemaAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-zod-docs|eng-val-zod-json-schema","ZodProfileAdapter-example-positive-001","ZodProfileAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SCXMLAdapter","adapter-plane","adapter-statecharts","SCXML 适配器","capability","SCXMLAdapter-is_a-StatechartAdapter","2","","SCXML 适配器","capability","keep","adapter-plane","adapter-statecharts","SCXML 适配器","capability","SCXMLAdapter-is_a-StatechartAdapter","SCXMLAdapter-is_a-StatechartAdapter","","","","","reviewed without relation replacement","状态图映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-state-scxml|eng-state-xstate-scxml","SCXMLAdapter-example-positive-001","SCXMLAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"StatechartAdapter","adapter-plane","adapter-statecharts","状态图适配器","capability","StatechartAdapter-is_a-Adapter","1","","状态图适配器","capability","keep","adapter-plane","adapter-statecharts","状态图适配器","capability","StatechartAdapter-is_a-Adapter","","","","","","reviewed without relation replacement","状态图映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-state-scxml|eng-state-xstate-docs","StatechartAdapter-example-positive-001","StatechartAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"XStateAdapter","adapter-plane","adapter-statecharts","XState 适配器","capability","XStateAdapter-is_a-StatechartAdapter","2","","XState 适配器","capability","keep","adapter-plane","adapter-statecharts","XState 适配器","capability","XStateAdapter-is_a-StatechartAdapter","XStateAdapter-is_a-StatechartAdapter","","","","","reviewed without relation replacement","状态图映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-state-scxml|eng-state-xstate-docs","XStateAdapter-example-positive-001","XStateAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"AuditLog","feedback-plane","feedback-logging","审计日志","collection","","0","unreviewed-v2-root","审计日志","collection","keep","feedback-plane","feedback-logging","审计日志","collection","","","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","AuditLog-example-positive-001","AuditLog-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ErrorListener","feedback-plane","feedback-logging","错误监听器","role","ErrorListener-is_a-LogConsumer","1","","错误监听器","role","keep","feedback-plane","feedback-logging","错误监听器","role","ErrorListener-is_a-LogConsumer","ErrorListener-is_a-LogConsumer","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","ErrorListener-example-positive-001","ErrorListener-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"EventSink","feedback-plane","feedback-logging","事件接收端","role","EventSink-is_a-LogConsumer","1","","接收端","role","keep","feedback-plane","feedback-logging","事件接收端","role","EventSink-is_a-LogConsumer","EventSink-is_a-LogConsumer","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","EventSink-example-positive-001","EventSink-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogArtifact","feedback-plane","feedback-logging","日志信息制品","information","","0","unreviewed-v2-root","日志产物","information","keep","feedback-plane","feedback-logging","日志产物","information","","","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","LogArtifact-example-positive-001","LogArtifact-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogConsumer","feedback-plane","feedback-logging","日志消费者","role","","0","unreviewed-v2-root","日志消费者","role","keep","feedback-plane","feedback-logging","日志消费者","role","","","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","LogConsumer-example-positive-001","LogConsumer-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogExportActivity","","","","","","","","日志导出","activity","add","feedback-plane","feedback-logging","日志导出活动","activity","LogExportActivity-is_a-TelemetryExportActivity","LogExportActivity-is_a-TelemetryExportActivity","","","","","new reviewed concept; no v2 record to migrate","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","LogExportActivity-example-positive-001","LogExportActivity-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogListener","feedback-plane","feedback-logging","日志监听器","role","LogListener-is_a-LogConsumer","1","","日志监听器","role","keep","feedback-plane","feedback-logging","日志监听器","role","LogListener-is_a-LogConsumer","LogListener-is_a-LogConsumer","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-tracing|lit-agent-safeagent","LogListener-example-positive-001","LogListener-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogRecord","feedback-plane","feedback-logging","日志记录","information","LogRecord-is_a-LogArtifact","1","","日志","information","keep","feedback-plane","feedback-logging","日志记录","information","LogRecord-is_a-LogArtifact","LogRecord-is_a-LogArtifact","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","LogRecord-example-positive-001","LogRecord-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogStream","feedback-plane","feedback-logging","日志流","collection","","0","unreviewed-v2-root","日志流","collection","keep","feedback-plane","feedback-logging","日志流","collection","","log_listener_subscribes_to_stream","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","LogStream-example-positive-001","LogStream-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LogSubscription","feedback-plane","feedback-logging","日志订阅","specification","","0","unreviewed-v2-root","日志订阅","specification","keep","feedback-plane","feedback-logging","日志订阅","specification","","","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","LogSubscription-example-positive-001","LogSubscription-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MeasurementReference","","","","","","","","测量引用","information","add","feedback-plane","feedback-logging","测量引用","information","","TelemetryExportBatch-contains-MeasurementReference","","","","","new reviewed concept; no v2 record to migrate","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","MeasurementReference-example-positive-001","MeasurementReference-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MetricExportActivity","","","","","","","","测量导出","activity","add","feedback-plane","feedback-logging","测量导出活动","activity","MetricExportActivity-is_a-TelemetryExportActivity","MetricExportActivity-is_a-TelemetryExportActivity","","","","","new reviewed concept; no v2 record to migrate","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","MetricExportActivity-example-positive-001","MetricExportActivity-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TelemetryExportActivity","","","","","","","","遥测导出","activity","add","feedback-plane","feedback-logging","遥测导出活动","activity","","","","","","","new reviewed concept; no v2 record to migrate","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","TelemetryExportActivity-example-positive-001","TelemetryExportActivity-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TelemetryExportBatch","","","","","","","","遥测导出批次","information","add","feedback-plane","feedback-logging","遥测导出批次","information","","TelemetryExportActivity-produces-TelemetryExportBatch","","","","","new reviewed concept; no v2 record to migrate","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langsmith-docs|eng-fw-openai-tracing","TelemetryExportBatch-example-positive-001","TelemetryExportBatch-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolTranscript","feedback-plane","feedback-logging","工具调用记录","information","ToolTranscript-is_a-LogArtifact","1","","工具调用","information","keep","feedback-plane","feedback-logging","工具调用记录","information","ToolTranscript-is_a-LogArtifact","ToolTranscript-is_a-LogArtifact","","","","","reviewed without relation replacement","日志与遥测按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-tracing|lit-agent-safeagent","ToolTranscript-example-positive-001","ToolTranscript-example-boundary-001","moonweave-feedback-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
